timestamp,experiment_id,condition_id,run_index,trial_index,run_seed,mask_seed,model_id,schematic,runtime_seconds,epochs_completed,final_train_loss,final_val_loss,final_val_acc,test_loss,test_acc,final_train_cert_rate,final_train_tau_mean,final_train_recurrent_scale_mean,final_train_recurrent_shrink_rate,final_val_cert_rate,final_val_tau_mean,final_val_recurrent_scale_mean,final_val_recurrent_shrink_rate,test_cert_rate,test_tau_mean,test_recurrent_scale_mean,test_recurrent_shrink_rate,mean_epoch_train_recurrent_scale,mean_epoch_val_recurrent_scale,k_total_target,hh_density_target
2026-03-27T12:57:46,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,12,12,374399940,1313764614,crp_adaptive,feedforward,553.232083,25,1.9834618074035644,1.9674271018981933,0.466,1.9625600717544556,0.4672,1.0,3.94172,0.1744481329908124,0.8337595907928389,1.0,3.0993,0.00023840850917622447,1.0,1.0,3.0983,0.00023840850917622447,1.0,0.14953487369644536,0.04267081837271689,10000.0,
2026-03-27T13:07:07,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,13,13,1188033244,401169362,crp_adaptive,feedforward,561.796803,25,2.0482704991149903,2.028204814529419,0.3798,2.020717102050781,0.393,1.0,3.38308,0.010351154008078636,0.9948849104859335,1.0,3.0067,0.0001421809574821964,1.0,1.0,3.0059,0.0001421809574821964,1.0,0.08142662670880658,0.005843835757259512,10000.0,
2026-03-27T13:16:37,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,14,14,762144912,1585161917,crp_adaptive,feedforward,569.195131,25,1.9512497302627563,1.941309449005127,0.5023,1.9383387521743773,0.498,1.0,5.21854,0.42806460999384555,0.6138107416879796,1.0,3.0448,0.00013504401431418955,1.0,1.0,3.0447,0.00013504401431418955,1.0,0.25418103663715297,0.03411074787323742,10000.0,
2026-03-27T13:25:54,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,15,15,2057428455,1573825650,crp_adaptive,feedforward,557.414232,25,1.998979105911255,1.9946917570114135,0.4523,1.9959003923416139,0.4426,1.0,4.33552,0.4120468645576698,0.5907928388746803,1.0,3.0041,7.869631372159347e-05,1.0,1.0,3.0041,7.869631372159347e-05,1.0,0.19326368764909643,0.10960658039090049,10000.0,
2026-03-27T13:35:22,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,16,16,196052585,1140405623,crp_adaptive,feedforward,568.274992,25,2.1299191371917723,2.1125246147155763,0.3934,2.1075938652038575,0.3951,1.0,3.70874,0.01915345630774525,0.9948849104859335,1.0,5.0057,0.0786198303103447,1.0,1.0,5.0048,0.0786198303103447,1.0,0.14365836187767872,0.03875320536099025,10000.0,
2026-03-27T13:46:06,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,17,17,2101613385,1579239073,crp_adaptive,feedforward,643.34252,25,1.9012780392074584,1.8813764621734619,0.4989,1.8689891225814819,0.5079,0.99966,3.54334,0.12431703965983644,0.8797953964194374,1.0,3.0035,6.79864315316081e-05,1.0,1.0,3.0043,6.79864315316081e-05,1.0,0.20680522981651128,0.07058648148096835,10000.0,
2026-03-27T13:56:09,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,18,18,885019663,1256390092,crp_adaptive,feedforward,603.525699,25,2.0476208374023437,2.0333873428344726,0.3617,2.02993208694458,0.3705,1.0,3.1498,0.04119806835906577,0.959079283887468,1.0,3.0002,1.7839116480899975e-05,1.0,1.0,3.0,1.7839116480899975e-05,1.0,0.19216495320857413,0.10628220399310521,10000.0,
2026-03-27T14:06:21,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,19,19,1082192973,357712575,crp_adaptive,feedforward,611.374438,25,2.0184119106292724,2.010089876937866,0.3882,2.011278277206421,0.3812,1.0,4.4019,0.23492584526250787,0.8363171355498721,1.0,3.9101,0.004718476440757513,1.0,1.0,3.9039,0.004718476440757513,1.0,0.18943449475672566,0.04423658150117262,10000.0,
2026-03-27T14:16:18,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,20,20,318141474,441767840,crp_adaptive,feedforward,597.071249,25,2.011374373550415,1.9957432773590087,0.3815,1.9871161155700683,0.3956,1.0,3.49728,0.1442123028999635,0.8567774936061381,1.0,3.0199,0.0004802088369615376,1.0,1.0,3.0194,0.0004802088369615376,1.0,0.16143649050739337,0.08498340994457976,10000.0,
2026-03-27T14:25:50,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,21,21,1543970182,167164485,crp_adaptive,feedforward,571.471078,25,1.7724629247665404,1.7659970281600952,0.5257,1.7434145299911499,0.535,1.0,4.85192,0.1947243924760908,0.8797953964194374,1.0,3.0215,5.242395491222851e-05,1.0,1.0,3.0218,5.242395491222851e-05,1.0,0.16369784001373067,0.0004686804269658751,10000.0,
2026-03-27T14:35:32,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,22,22,407960426,1797594736,crp_adaptive,feedforward,581.886371,25,2.0819292182922364,2.0682882568359373,0.3936,2.0685055297851562,0.3901,1.0,3.08566,0.03846869453796606,0.9616368286445013,1.0,3.0001,1.8571368855191395e-05,1.0,1.0,3.0,1.8571368855191395e-05,1.0,0.31224526886621784,0.2690890771033264,10000.0,
2026-03-27T14:45:20,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,23,23,733495427,691573102,crp_adaptive,feedforward,588.074259,25,2.0959742204284666,2.084152870178223,0.4093,2.07851621131897,0.4079,1.0,3.20084,0.08474677279824726,0.9156010230179028,1.0,3.0002,2.9479258955689147e-05,1.0,1.0,3.0001,2.9479258955689147e-05,1.0,0.22659175762996095,0.05796660604592034,10000.0,
2026-03-27T14:54:41,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,24,24,50511425,985348261,crp_adaptive,feedforward,560.832065,25,2.091511355667114,2.0773160568237303,0.4538,2.082014338684082,0.449,1.0,3.64222,0.20834455006114208,0.80306905370844,1.0,3.0,2.1617721358779818e-05,1.0,1.0,3.0,2.1617721358779818e-05,1.0,0.1949303608608954,0.0012074815759297052,10000.0,
2026-03-27T15:04:26,comparison_condition_crp_adaptive_feedforward_init_20260327_005712,crp_adaptive_feedforward_init,25,25,729108864,57702956,crp_adaptive,feedforward,585.144185,25,2.030979059371948,2.0157350517272947,0.3236,2.0066577003479003,0.3426,1.0,3.17026,0.02676058705988475,0.9744245524296675,1.0,3.001,1.938395325851161e-05,1.0,1.0,3.0017,1.938395325851161e-05,1.0,0.3877053912249686,0.1805262121076521,10000.0,
