timestamp,experiment_id,condition_id,model_id,schematic,epoch,completed_trials,expected_trials,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_acc_mean,val_acc_std,val_acc_se,val_acc_ci95_low,val_acc_ci95_high,train_recurrent_scale_mean,train_recurrent_scale_std,val_recurrent_scale_mean,val_recurrent_scale_std,train_recurrent_shrink_rate_mean,train_recurrent_shrink_rate_std,val_recurrent_shrink_rate_mean,val_recurrent_shrink_rate_std
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,1,25,25,0.29116434760112764,0.0058689964135778,0.15379780849313737,0.006926567700038624,0.953932,0.0025569708641281076,0.0005113941728256215,0.9529296674212618,0.9549343325787382,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,2,25,25,0.11901461833896637,0.0017304304072288301,0.11853832945790888,0.006733989504263476,0.96348,0.0024704925284917017,0.0004940985056983403,0.9625115669288312,0.9644484330711688,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,3,25,25,0.08173434004045725,0.0017897548423281438,0.10404323452265747,0.007284545161503322,0.967868,0.0022240578529645586,0.0004448115705929117,0.9669961693216378,0.9687398306783621,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,4,25,25,0.060701008462643626,0.0010746383968845896,0.09853628265177086,0.008077661349576354,0.970176,0.001983742254763285,0.000396748450952657,0.9693983730361329,0.9709536269638672,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,5,25,25,0.0470095879091382,0.0015506873917074874,0.09423997512082569,0.007456377375836901,0.972184,0.0018210985695453169,0.00036421971390906337,0.9714701293607383,0.9728978706392618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,6,25,25,0.03693777338888645,0.0013826792462267603,0.09410996545868366,0.007034667869345521,0.973224,0.0019558203734835427,0.00039116407469670856,0.9724573184135944,0.9739906815864056,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,7,25,25,0.029765458319303394,0.0013368106284061855,0.0942349133990393,0.007880228389275051,0.97388,0.0018542743414428529,0.0003708548682885706,0.9731531244581544,0.9746068755418456,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,8,25,25,0.02450672962206453,0.0014747653316422972,0.09586588962902175,0.007405831321357271,0.974208,0.0016038807104436844,0.0003207761420887369,0.9735792787615061,0.9748367212384939,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,9,25,25,0.021411776586917043,0.0013896405644402501,0.10076818024020921,0.010176646980765433,0.974152,0.001804651397546537,0.0003609302795093074,0.9734445766521618,0.9748594233478383,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,10,25,25,0.01882618693782091,0.001738382320936414,0.10439656940680778,0.010857898321694547,0.974676,0.0022179720467129373,0.00044359440934258745,0.9738065549576885,0.9755454450423114,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,11,25,25,0.01754167054932639,0.002168001754917224,0.10875101784952028,0.008945134636870479,0.974124,0.002123338566189271,0.0004246677132378542,0.9732916512820537,0.9749563487179462,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,12,25,25,0.01710206432403773,0.0018825746956800788,0.10912494901638163,0.011494709346036367,0.974656,0.002070442786780967,0.0004140885573561934,0.9738443864275819,0.9754676135724181,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,13,25,25,0.01502370839365609,0.00232433334028639,0.11470580161909974,0.01085977075291948,0.97464,0.0022327113561766082,0.00044654227123532166,0.9737647771483787,0.9755152228516212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,14,25,25,0.013771677871786804,0.0020255458650019773,0.11527712123719075,0.01061174666218542,0.975236,0.001909380353238538,0.0003818760706477076,0.9744875229015305,0.9759844770984695,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,15,25,25,0.012856130189069174,0.0018636103978052008,0.1176418701164181,0.011404799893261748,0.975496,0.002060436846884657,0.00041208736937693144,0.9746883087560212,0.9763036912439789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,16,25,25,0.01273179047989538,0.002482819744881421,0.1239238372096272,0.01384457938689026,0.97436,0.0025382080292994033,0.0005076416058598807,0.9733650224525147,0.9753549775474853,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,17,25,25,0.012195353726174123,0.002283884117364151,0.12115998668535113,0.012476836790712651,0.975508,0.002054450453689903,0.0004108900907379806,0.9747026554221536,0.9763133445778465,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T00:24:55,comparison_condition_crp_feedforward_20260326_213610,crp_feedforward,crp,feedforward,18,25,25,0.010599327121657506,0.002439966923555511,0.12446531172943866,0.011793016603741963,0.975836,0.002158294079437124,0.00043165881588742475,0.9749899487208606,0.9766820512791394,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
