timestamp,experiment_id,k,c_value,completed_trials,expected_trials,val_acc_mean,val_acc_std,val_acc_se,val_acc_ci95_low,val_acc_ci95_high,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_se,test_acc_ci95_low,test_acc_ci95_high,test_acc_min,test_acc_max,final_val_recurrent_scale_mean,final_val_recurrent_scale_std,final_val_recurrent_shrink_rate_mean,final_val_recurrent_shrink_rate_std,mean_epoch_val_recurrent_scale_mean,mean_epoch_val_recurrent_scale_std,mean_epoch_val_recurrent_shrink_rate_mean,mean_epoch_val_recurrent_shrink_rate_std
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,1,0.9,25,25,0.971064,0.0021961860880474887,0.00043923721760949773,0.9702030950534855,0.9719249049465146,0.9665,0.9762,0.972388,0.0018828878529181504,0.00037657757058363005,0.9716499079616561,0.973126092038344,0.9682,0.9753,0.11326618403196335,0.0010697669722277028,1.0,0.0,0.11614346939325333,0.001264420572602997,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,2,0.99,25,25,0.971572,0.001976006072865167,0.00039520121457303336,0.9707974056194368,0.9723465943805631,0.9675,0.9743,0.973144,0.001959821420436057,0.0003919642840872114,0.9723757500031891,0.9739122499968109,0.9672,0.9759,0.12411929726600647,0.0013081896485743522,1.0,0.0,0.12745366632938385,0.0010603924769644786,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,3,0.999,25,25,0.971556,0.0016431879584109274,0.00032863759168218546,0.9709118703203029,0.972200129679697,0.9675,0.9745,0.973164,0.00163015336701796,0.000326030673403592,0.972524979880129,0.9738030201198711,0.9699,0.9763,0.1253605443239212,0.001554201773901954,1.0,0.0,0.12890732198953628,0.0016196151255692545,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,4,0.9999,25,25,0.971372,0.0017775263711123938,0.00035550527422247876,0.970675209662524,0.9720687903374761,0.9668,0.9749,0.973036,0.0018309560344257395,0.0003661912068851479,0.9723182652345052,0.9737537347654949,0.9692,0.9767,0.12599027752876282,0.0014070765586809367,1.0,0.0,0.12925431180000305,0.0009255929150421894,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,5,0.99999,25,25,0.970372,0.0025970367729395024,0.0005194073545879004,0.9693539615850078,0.9713900384149923,0.9637,0.9737,0.9729,0.0016643316977093207,0.00033286633954186416,0.9722475819744979,0.9735524180255021,0.9691,0.9763,0.12599847227334976,0.001708036465068173,1.0,0.0,0.1290056912302971,0.0014924291338909794,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,6,0.999999,25,25,0.970752,0.0017010095041866615,0.0003402019008373323,0.9700852042743587,0.9714187957256412,0.9674,0.9741,0.972912,0.0013157127346043232,0.00026314254692086467,0.9723962406080351,0.9734277593919649,0.9704,0.9758,0.12556624859571458,0.0013608324115401008,1.0,0.0,0.1288098984360695,0.0010593152147863217,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,7,0.9999999,25,25,0.970748,0.0022568636053898715,0.0004513727210779743,0.9698633094666872,0.9716326905333129,0.9656,0.9755,0.972584,0.0019097731104331143,0.0003819546220866229,0.9718353689407102,0.9733326310592898,0.968,0.9768,0.1260729491710663,0.0013962525747151964,1.0,0.0,0.12901141488552093,0.00109445826520098,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,8,0.99999999,25,25,0.971424,0.002680839420778497,0.0005361678841556994,0.9703731109470548,0.9724748890529451,0.9672,0.9764,0.972668,0.001931260382927863,0.0003862520765855726,0.9719109459298922,0.9734250540701077,0.9682,0.977,0.12566656291484832,0.0011833822823292075,1.0,0.0,0.1289380446076393,0.0009148258682051589,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,9,0.999999999,25,25,0.970588,0.002597646370595239,0.0005195292741190478,0.9695697226227267,0.9716062773772733,0.9646,0.9763,0.973208,0.0014614262440050387,0.0002922852488010077,0.9726351209123499,0.97378087908765,0.9696,0.9753,0.12592427998781205,0.001374710129701419,1.0,0.0,0.12900045442581176,0.001147520298950369,1.0,0.0
2026-03-22T07:54:16,crp_c_sensitivity_20260321_193605,10,0.9999999999,25,25,0.970716,0.002425159788550028,0.00048503195771000556,0.9697653373628884,0.9716666626371117,0.9642,0.974,0.972764,0.0017754999295972876,0.0003550999859194575,0.9720680040275979,0.9734599959724021,0.9693,0.9766,0.12605867117643357,0.0013222485470805458,1.0,0.0,0.1290472176671028,0.0009806582669587259,1.0,0.0
